snapshot,line,segment,value
2015-01-01T00:00:00.000000,ab13,1,0.029752066116
2015-01-01T00:00:00.000000,ab13,2,0.059504132231
2015-01-01T00:00:00.000000,bc13,1,0.048099173554
2015-01-01T00:00:00.000000,bc13,2,0.096198347107
2015-01-01T00:00:00.000000,ca13,1,0.044628099174
2015-01-01T00:00:00.000000,ca13,2,0.089256198347
2015-01-01T01:00:00.000000,ab13,1,0.029752066116
2015-01-01T01:00:00.000000,ab13,2,0.059504132231
2015-01-01T01:00:00.000000,bc13,1,0.048099173554
2015-01-01T01:00:00.000000,bc13,2,0.096198347107
2015-01-01T01:00:00.000000,ca13,1,0.044628099174
2015-01-01T01:00:00.000000,ca13,2,0.089256198347
2015-01-01T02:00:00.000000,ab13,1,0.029752066116
2015-01-01T02:00:00.000000,ab13,2,0.059504132231
2015-01-01T02:00:00.000000,bc13,1,0.048099173554
2015-01-01T02:00:00.000000,bc13,2,0.096198347107
2015-01-01T02:00:00.000000,ca13,1,0.044628099174
2015-01-01T02:00:00.000000,ca13,2,0.089256198347
2015-01-01T03:00:00.000000,ab13,1,0.029752066116
2015-01-01T03:00:00.000000,ab13,2,0.059504132231
2015-01-01T03:00:00.000000,bc13,1,0.048099173554
2015-01-01T03:00:00.000000,bc13,2,0.096198347107
2015-01-01T03:00:00.000000,ca13,1,0.044628099174
2015-01-01T03:00:00.000000,ca13,2,0.089256198347
