snapshot,line,value
2015-01-01T00:00:00.000000,ab13,1.785123966942
2015-01-01T00:00:00.000000,bc13,2.885950413223
2015-01-01T00:00:00.000000,ca13,4.01652892562
2015-01-01T01:00:00.000000,ab13,1.785123966942
2015-01-01T01:00:00.000000,bc13,2.885950413223
2015-01-01T01:00:00.000000,ca13,4.01652892562
2015-01-01T02:00:00.000000,ab13,1.785123966942
2015-01-01T02:00:00.000000,bc13,2.885950413223
2015-01-01T02:00:00.000000,ca13,4.01652892562
2015-01-01T03:00:00.000000,ab13,1.785123966942
2015-01-01T03:00:00.000000,bc13,2.885950413223
2015-01-01T03:00:00.000000,ca13,4.01652892562
